v1,v2
ham,"Hi, how are you?"
spam,Congratulations! You have won a free ticket. Call now!
ham,I will be late today
ham,Are we still on for dinner?
spam,You’ve been selected! Win cash now!
spam,URGENT! Your number has won a prize!
ham,Can you send the email?
ham,Let’s meet at 6 PM.
spam,Free entry in a weekly contest. Win now!
ham,Please call me when you get free.
spam,Winner! Text WIN to 80085 now!
ham,Don’t forget the documents.
spam,Get your free iPhone. Act fast!
ham,What’s the plan for tomorrow?
spam,Your loan is approved. Click to claim.
spam,You won $1000 gift card!
ham,Check your calendar for the meeting.
ham,Bring the files to the office.
spam,"Congratulations, you’re selected!"
ham,Let’s catch up tomorrow.
